"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='17' and transact.period='4'","90842   ","231 FARM CENTER       ","172571      ","N"," 69519   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","      3780.00","7885    ","P","10/13/16","APSF1005"
"transact.yr='17' and transact.period='4'","33556   ","4IMPRINT              ","171196      ","N"," 69377   ","1111620401009999-329-2200","TUCK NEOPRENE TABLET B","       0.00","       873.60","4818214 ","F","10/06/16","APSH1004"
"transact.yr='17' and transact.period='4'","33556   ","4IMPRINT              ","171196      ","N"," 69377   ","1111620401009999-329-2200","ESTIMATED SHIPPING/HAN","       0.00","        85.73","4818214 ","F","10/06/16","APSH1004"
"transact.yr='17' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","170178      ","N","         ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","","","        ","F","        ","MT101916"
"transact.yr='17' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","170178      ","N"," 69430   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       111.00","47485   ","P","10/06/16","APSG1006"
"transact.yr='17' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","170128      ","N"," 69618   ","1108021031006000-408-3700","TRAILER RENTAL #4 FOR ","       0.00","       125.00","47607   ","P","10/13/16","APSG1004"
"transact.yr='17' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","170178      ","N"," 69786   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","        55.50","47647   ","P","10/20/16","APSG1014"
"transact.yr='17' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","171119      ","N"," 69786   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","        92.50","47648   ","P","10/20/16","APSG1014"
"transact.yr='17' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","170128      ","N"," 69786   ","1108021031006000-408-3700","TRAILER RENTAL #2 FOR ","       0.00","       125.00","47719   ","P","10/20/16","APSG1020"
"transact.yr='17' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","172428      ","N"," 69996   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","47766   ","P","10/27/16","APSG1027"
"transact.yr='17' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","172428      ","N"," 69996   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","47767   ","P","10/27/16","APSG1027"
"transact.yr='17' and transact.period='4'","109     ","ABC SUPPLY CO. INC.   ","170073      ","N"," 69520   ","1108021199991280-329-7300","BLANKET PURCHASE ORDER","       0.00","       527.13","53265806","P","10/13/16","APSG1004"
"transact.yr='17' and transact.period='4'","180     ","ABC-CLIO              ","170830      ","N"," 69521   ","1131420408009999-322-0700","RENEWAL NO.: 99546    ","       0.00","       407.25","C39679  ","F","10/13/16","APSF1005"
"transact.yr='17' and transact.period='4'","180     ","ABC-CLIO              ","170830      ","N"," 69521   ","1131420408009999-322-0700","RENEWAL NO.: 99546    ","       0.00","       407.25","C39679  ","F","10/13/16","APSF1005"
"transact.yr='17' and transact.period='4'","180     ","ABC-CLIO              ","170830      ","N"," 69521   ","1131420408009999-322-0700","RENEWAL NO.: 99546    ","       0.00","       407.25","C39679  ","F","10/13/16","APSF1005"
"transact.yr='17' and transact.period='4'","180     ","ABC-CLIO              ","170830      ","N"," 69521   ","1131420408009999-322-0700","RENEWAL NO.: 99546    ","       0.00","       407.25","C39679  ","F","10/13/16","APSF1005"
"transact.yr='17' and transact.period='4'","185     ","ABS COMPLETE PRINTING ","172444      ","N"," 69522   ","1131220401009999-329-2200","#10 ENVELOPES, STOCK 2","       0.00","       119.00","123293  ","F","10/13/16","APSG1004"
"transact.yr='17' and transact.period='4'","91804   ","ACTE                  ","0           ","N"," 69378   ","1108020215012550-499-2100","                      ","       0.00","        80.00","092116ME"," ","10/06/16","APSG1005"
"transact.yr='17' and transact.period='4'","514     ","DIANA C ADAMS         ","0           ","N"," 69523   ","1208020400807000-329-4100","                      ","       0.00","         6.83","092116  "," ","10/13/16","APSG1004"
"transact.yr='17' and transact.period='4'","76723   ","ADRIANE HOPE SAYLES MA","171347      ","M"," V505047 ","1108020604001305-209-1000","ENCUMBRANCE FOR SLP SE","       0.00","       412.50","16-12   ","P","10/13/16","APSG1004"
"transact.yr='17' and transact.period='4'","973     ","ADVANCED MANU. TECHNIQ","171909      ","N"," 69950   ","1108020401009999-329-2207","TS-A TENSILE SPECIMEN,","       0.00","        35.00","26626   ","F","10/27/16","APSG1027"
"transact.yr='17' and transact.period='4'","973     ","ADVANCED MANU. TECHNIQ","171909      ","N"," 69950   ","1108020401009999-329-2207","TS-B TENSILE SPECIMEN,","       0.00","        35.00","26626   ","F","10/27/16","APSG1027"
"transact.yr='17' and transact.period='4'","973     ","ADVANCED MANU. TECHNIQ","171909      ","N"," 69950   ","1108020401009999-329-2207","TS-S TENSILE SPECIMEN,","       0.00","        35.00","26626   ","F","10/27/16","APSG1027"
"transact.yr='17' and transact.period='4'","973     ","ADVANCED MANU. TECHNIQ","171909      ","N"," 69950   ","1108020401009999-329-2207","ESTIMATED SHIPPING/HAN","       0.00","        10.00","26626   ","F","10/27/16","APSG1027"
"transact.yr='17' and transact.period='4'","952     ","ADVOSERV GROUP HOME IN","172356      ","N"," 69379   ","1108020607001330-885-3500","NONPUBLIC TUITION FOR ","       0.00","      5089.40","33320   ","P","10/06/16","APSG1006"
"transact.yr='17' and transact.period='4'","952     ","ADVOSERV GROUP HOME IN","172356      ","N"," 69379   ","1108020607001330-885-3500","NONPUBLIC TUITION FOR ","       0.00","      5852.81","33432   ","P","10/06/16","APSG1006"
"transact.yr='17' and transact.period='4'","952     ","ADVOSERV GROUP HOME IN","172356      ","N"," 69951   ","1108020607001330-885-3500","NONPUBLIC TUITION FOR ","       0.00","      2799.17","33545   ","P","10/27/16","APSG1027"
"transact.yr='17' and transact.period='4'","92576   ","AETNA BEHAVIORAL HEALT","171385      ","N"," 69380   ","1108021299999999-414-0442","EMPLOYEE ASSITANCE PRO","       0.00","     13552.62","OCT-DEC ","P","10/06/16","APSG1005"
"transact.yr='17' and transact.period='4'","27521   ","AHOLD FINANCIAL SERVIC","172329      ","N"," 69381   ","1111620401009999-329-1800","OPEN PURCHASE NTE $200","       0.00","        28.95","470712  ","P","10/06/16","APSG1006"
"transact.yr='17' and transact.period='4'","27521   ","AHOLD FINANCIAL SERVIC","172218      ","N"," 69524   ","1210121499993370-325-9000","BLANKET PURCHASE ORDER","       0.00","        43.69","470707  ","P","10/13/16","APSG1004"
"transact.yr='17' and transact.period='4'","27521   ","AHOLD FINANCIAL SERVIC","172329      ","N"," 69741   ","1111620401009999-329-1800","OPEN PURCHASE NTE $200","       0.00","        47.59","385908  ","P","10/20/16","APSG1020"
"transact.yr='17' and transact.period='4'","27521   ","AHOLD FINANCIAL SERVIC","172218      ","N"," 69741   ","1210121499993370-325-9000","BLANKET PURCHASE ORDER","       0.00","       119.84","385909  ","P","10/20/16","APSG1020"
"transact.yr='17' and transact.period='4'","27521   ","AHOLD FINANCIAL SERVIC","172218      ","N"," 69741   ","1210121499993370-325-9000","BLANKET PURCHASE ORDER","       0.00","       117.10","470718  ","P","10/20/16","APSG1020"
"transact.yr='17' and transact.period='4'","27521   ","AHOLD FINANCIAL SERVIC","171976      ","N"," 69952   ","1111120401009999-329-1800","OPEN PO               ","       0.00","       131.52","470717  ","P","10/27/16","APSG1027"
