"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='17' and transact.period='6'","91554   ","3 BROTHERS ITALIAN RES","173303      ","N"," 71082   ","1208020400807000-329-4100","OPEN PURCHASE ORDER FO","       0.00","       227.00","8415    ","F","12/15/16","APSG1208"
"transact.yr='17' and transact.period='6'","91554   ","3 BROTHERS ITALIAN RES","173432      ","N"," 71404   ","1220820401007000-329-4100","OPEN PURCHASE ORDER TO","       0.00","       180.00","102     ","F","12/23/16","APSG1220"
"transact.yr='17' and transact.period='6'","33556   ","4IMPRINT              ","171979      ","N"," 71405   ","1111620401009999-329-2200","CARRY ME LAPTOP CASE-R","       0.00","       228.75","5055017 ","F","12/23/16","APSG1215"
"transact.yr='17' and transact.period='6'","33556   ","4IMPRINT              ","171979      ","N"," 71405   ","1111620401009999-329-2200","ESTIMATED SHIPPING/HAN","       0.00","        10.30","5055017 ","F","12/23/16","APSG1215"
"transact.yr='17' and transact.period='6'","6       ","95 PERCENT GROUP INC. ","173070      ","N"," 71406   ","1120720604001300-329-2100","ITEM NUMBER:  PA1200  ","       0.00","        83.66","20889   ","F","12/23/16","APSG1220"
"transact.yr='17' and transact.period='6'","6       ","95 PERCENT GROUP INC. ","173070      ","N"," 71406   ","1120720604001300-329-2100","SHIPPING              ","       0.00","         9.84","20889   ","F","12/23/16","APSG1220"
"transact.yr='17' and transact.period='6'","6       ","95 PERCENT GROUP INC. ","173166      ","N"," 71406   ","1121520401009999-329-2200","PA1504                ","       0.00","       390.00","20968   ","F","12/23/16","APSG1215"
"transact.yr='17' and transact.period='6'","6       ","95 PERCENT GROUP INC. ","173166      ","N"," 71406   ","1121520401009999-329-2200","ESTIMATED SHIPPING/HAN","       0.00","        39.00","20968   ","F","12/23/16","APSG1215"
"transact.yr='17' and transact.period='6'","30724   ","A.H. HATCHER INC.     ","170128      ","N"," 70895   ","1108021031006000-408-3700","TRAILER RENTAL #2 FOR ","       0.00","       125.00","47963   ","P","12/02/16","APSG1130"
"transact.yr='17' and transact.period='6'","30724   ","A.H. HATCHER INC.     ","170128      ","N"," 70895   ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","       125.00","48013   ","P","12/02/16","APSG1130"
