"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='17' and transact.period='12'","90842   ","231 FARM CENTER       ","172571      ","N","         ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","","","        ","F","        ","MT062017"
"transact.yr='17' and transact.period='12'","90842   ","231 FARM CENTER       ","172622      ","N","         ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","","","        ","F","        ","MT062017"
"transact.yr='17' and transact.period='12'","90842   ","231 FARM CENTER       ","174634      ","N","         ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","","","        ","F","        ","MT062017"
"transact.yr='17' and transact.period='12'","90842   ","231 FARM CENTER       ","172571      ","N"," 75850   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       259.97","684658  ","P","06/15/17","APAM0612"
"transact.yr='17' and transact.period='12'","90842   ","231 FARM CENTER       ","172622      ","N"," 75850   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","      4999.80","684659  ","P","06/15/17","APAM0612"
"transact.yr='17' and transact.period='12'","90842   ","231 FARM CENTER       ","174634      ","N"," 75850   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","      5000.00","684660  ","P","06/15/17","APAM0612"
"transact.yr='17' and transact.period='12'","91554   ","3 BROTHERS ITALIAN RES","174806      ","N","         ","1108020899991260-499-9100","ENCUMBERANCE OF FUNDS -","","","        ","F","        ","MT061917"
"transact.yr='17' and transact.period='12'","100628  ","A. MURPHY & CO INC    ","0           ","N"," 67313   ","1208020501007033-209-9900","                      ","       0.00","      -600.00","216     "," ","07/21/16","APSG0711                                     VOID"
"transact.yr='17' and transact.period='12'","30724   ","A.H. HATCHER INC.     ","170128      ","N","         ","1108021031006000-408-3700","TRAILER RENTAL #1 FOR ","       0.00","         0.00","50285   ","F","        ","APAM0627"
"transact.yr='17' and transact.period='12'","30724   ","A.H. HATCHER INC.     ","170128      ","N","         ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","         0.00","50285   ","F","        ","APAM0627"
"transact.yr='17' and transact.period='12'","30724   ","A.H. HATCHER INC.     ","170128      ","N","         ","1108021031006000-408-3700","TRAILER RENTAL #4 FOR ","       0.00","         0.00","50285   ","F","        ","APAM0627"
