"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='18' and transact.period='1'","92595   ","4000FT.COM            ","0           ","N"," 76648   ","1108020401009999-329-8000","HOSTING FEE           ","       0.00","       500.00","070517  "," ","07/20/17","APAM0717"
"transact.yr='18' and transact.period='1'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 76707   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       495.00","49889   ","P","07/20/17","APAM0717"
"transact.yr='18' and transact.period='1'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 76707   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","49892   ","P","07/20/17","APAM0717"
"transact.yr='18' and transact.period='1'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 76707   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","49893   ","P","07/20/17","APAM0717"
"transact.yr='18' and transact.period='1'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 76707   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","50288   ","P","07/20/17","APAM0717"
"transact.yr='18' and transact.period='1'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 76707   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","50289   ","P","07/20/17","APAM0717"
"transact.yr='18' and transact.period='1'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 76879   ","1108021031006000-408-3700","TRAILER RENTAL #2 FOR ","       0.00","       125.00","50434   ","P","07/28/17","APAM0720"
"transact.yr='18' and transact.period='1'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 76879   ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","       125.00","50459   ","P","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 76879   ","1108021031006000-408-3700","TRAILER RENTAL #1 FOR ","       0.00","       125.00","50460   ","P","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","115     ","AASPA                 ","0           ","N"," 76817   ","1108020123001035-499-2100","MEMBERSHIP - HUTCHINS ","       0.00","       195.00","071917  "," ","07/28/17","APAM0720"
"transact.yr='18' and transact.period='1'","180     ","ABC-CLIO              ","180805      ","N"," 76818   ","1111320408009999-322-0700","2017-2018 SCHOOL LIBRA","       0.00","        89.00","C42317  ","F","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","180     ","ABC-CLIO              ","180186      ","N"," 76818   ","1121320408009999-322-0700","AMERICAN HISTORY      ","       0.00","       407.00","C42370  ","F","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","180     ","ABC-CLIO              ","180186      ","N"," 76818   ","1121320408009999-322-0700","WORLD HISTORY         ","       0.00","       407.00","C42370  ","F","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","180     ","ABC-CLIO              ","180186      ","N"," 76818   ","1121320408009999-322-0700","MODERN GENOCIDE       ","       0.00","       407.00","C42370  ","F","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","180     ","ABC-CLIO              ","180186      ","N"," 76818   ","1121320408009999-322-0700","WORLD AT WAR          ","       0.00","       407.00","C42370  ","F","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","183     ","ABSOLUTE QUALITY CONTR","0           ","N"," 77004   ","1108021536001290-552-2500","                      ","       0.00","      -600.00","062917  "," ","07/31/17","APAM731                                      VOID"
"transact.yr='18' and transact.period='1'","183     ","ABSOLUTE QUALITY CONTR","0           ","N"," 77017   ","1108021536001290-552-2500","                      ","       0.00","       600.00","062917  "," ","08/03/17","APAM801"
"transact.yr='18' and transact.period='1'","330     ","ACORN NATURALISTS     ","180030      ","N"," 76819   ","1106520401009999-329-2200","ITEM # T-16009 MINI OB","       0.00","        90.96","327973A ","P","07/28/17","APAM0719"
"transact.yr='18' and transact.period='1'","330     ","ACORN NATURALISTS     ","180030      ","N"," 76819   ","1106520401009999-329-2200","ESTIMATED SHIPPING/HAN","       0.00","        17.72","327973A ","P","07/28/17","APAM0719"
"transact.yr='18' and transact.period='1'","100595  ","AFFORDABLE REFUSE AND ","0           ","N"," 77005   ","1108021536001290-209-9900","                      ","       0.00","      -709.90","584344  "," ","07/31/17","APAM731                                      VOID"
"transact.yr='18' and transact.period='1'","100595  ","AFFORDABLE REFUSE AND ","0           ","N"," 77005   ","1108021536001290-209-9900","                      ","       0.00","      -583.20","584359  "," ","07/31/17","APAM731                                      VOID"
"transact.yr='18' and transact.period='1'","100595  ","AFFORDABLE REFUSE AND ","0           ","N"," 77020   ","1108021536001290-209-9900","                      ","       0.00","       709.90","584344  "," ","08/03/17","APAM801"
"transact.yr='18' and transact.period='1'","100595  ","AFFORDABLE REFUSE AND ","0           ","N"," 77020   ","1108021536001290-209-9900","                      ","       0.00","       583.20","584359  "," ","08/03/17","APAM801"
"transact.yr='18' and transact.period='1'","91879   ","AGILE MIND EDUCATIONAL","0           ","N"," 76459   ","1108020401009999-321-0600","                      ","       0.00","      1900.00","6668    "," ","07/14/17","APPG0701"
"transact.yr='18' and transact.period='1'","91879   ","AGILE MIND EDUCATIONAL","0           ","N"," 76651   ","1108020401009999-321-0600","                      ","       0.00","    104047.00","6670    "," ","07/20/17","APAM0718"
"transact.yr='18' and transact.period='1'","91879   ","AGILE MIND EDUCATIONAL","0           ","N"," 76651   ","1108020401009999-321-0600","                      ","       0.00","      3000.00","6688    "," ","07/20/17","APAM0718"
"transact.yr='18' and transact.period='1'","1025    ","AIRECO SUPPLY         ","180130      ","N","         ","1108021199991280-329-7100","BLANKET PURCHASE ORDER","","","        ","F","        ","MT070717"
"transact.yr='18' and transact.period='1'","1025    ","AIRECO SUPPLY         ","180130      ","N","         ","1108021199991280-329-7900","BLANKET PURCHASE ORDER","","","        ","F","        ","MT070717"
"transact.yr='18' and transact.period='1'","1303    ","AMATO INDUSTRIES/AMCHL","180160      ","N"," 76822   ","1108021031006000-408-6200","BLANKET PURCHASE FOR C","       0.00","       243.75","1113442 ","P","07/28/17","APAM0720"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180738      ","N"," 76828   ","1121520401009999-329-2200","SCHOOL SMART 24X32-1 I","       0.00","        16.76","02QV7JRK","P","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180770      ","N"," 76828   ","1131220401009999-329-2200","EXPO LOW-ODER DRY ERAS","       0.00","        25.92","02QV7JRK","P","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180770      ","N"," 76828   ","1131220401009999-329-2200","MOTOROLA ORIGINAL NNTN","       0.00","       399.90","02QV7JRK","P","07/28/17","APAM0724"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180806      ","N"," 76828   ","1111320408009999-322-0700","BLINDSPOT: HIDDEN BIAS","       0.00","       112.00","02QV7JRK","P","07/28/17","APAM0719"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180765      ","N"," 76828   ","1120720401009999-329-2200","KORE PATENTED WOBBLE  ","       0.00","        65.49","02QV7JRK","P","07/28/17","APAM0719"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180145      ","N"," 76828   ","1120120401009999-321-0600","ACROSS THE LINES PAPER","       0.00","         4.05","02QV7JRK","P","07/28/17","APAM0719"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180806      ","N"," 76828   ","1111320408009999-322-0700","PERSEPOLIS - DVD      ","       0.00","         8.09","02RT447S","P","07/28/17","APAM0719"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180806      ","N"," 76828   ","1111320408009999-322-0700","WAITING FOR GODOT (200","       0.00","        26.93","02RT447S","P","07/28/17","APAM0719"
"transact.yr='18' and transact.period='1'","1302    ","AMAZON                ","180865      ","N"," 76828   ","1111620401009999-329-2212","EXPO LOW-ODOR DRY ERAS","       0.00","        42.30","02RT447S","F","07/28/17","APAM0719"
