"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180264      ","N","         ","1108021031006020-329-8200","OPEN PO FOR HAULING/REN","","","        ","F","        ","MT090617"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 77088   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       495.00","50450   ","P","08/03/17","APAM0731"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 77088   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","50461   ","P","08/03/17","APAM0731"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 77088   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","50462   ","P","08/03/17","APAM0731"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 77088   ","1108021031006000-408-3700","TRAILER RENTAL #4 FOR ","       0.00","       125.00","50508   ","P","08/03/17","APAM0731"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 77358   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       185.00","50567   ","P","08/17/17","APAM0809"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 77500   ","1108021031006000-408-3700","TRAILER RENTAL #2 FOR ","       0.00","       125.00","50616   ","P","08/24/17","APAM8152"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 77721   ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","       125.00","50648   ","P","08/31/17","APAM0822"
"transact.yr='18' and transact.period='2'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 77721   ","1108021031006000-408-3700","TRAILER RENTAL #1 FOR ","       0.00","       125.00","50649   ","P","08/31/17","APAM0822"
"transact.yr='18' and transact.period='2'","180     ","ABC-CLIO              ","180187      ","N"," 77173   ","1121720408009999-322-0700","AMERICAN GOVERNMENT   ","       0.00","       407.25","C42374  ","F","08/09/17","APAM0802"
"transact.yr='18' and transact.period='2'","180     ","ABC-CLIO              ","180187      ","N"," 77173   ","1121720408009999-322-0700","AMERICAN HISTORY      ","       0.00","       407.25","C42374  ","F","08/09/17","APAM0802"
"transact.yr='18' and transact.period='2'","180     ","ABC-CLIO              ","180187      ","N"," 77173   ","1121720408009999-322-0700","ANCIENT WORLD HISTORY ","       0.00","       407.25","C42374  ","F","08/09/17","APAM0802"
"transact.yr='18' and transact.period='2'","180     ","ABC-CLIO              ","180187      ","N"," 77173   ","1121720408009999-322-0700","WORLD HISTORY         ","       0.00","       407.25","C42374  ","F","08/09/17","APAM0802"
"transact.yr='18' and transact.period='2'","185     ","ABS COMPLETE PRINTING ","180188      ","N"," 77016   ","1121720215012550-329-1100","310 HHS REGULAR ENVELO","       0.00","       344.00","123927  ","F","08/03/17","APAM0731"
"transact.yr='18' and transact.period='2'","185     ","ABS COMPLETE PRINTING ","180188      ","N"," 77016   ","1121720215012550-329-1100","3 PART CUT SLIPS FOR H","       0.00","       249.00","123927  ","F","08/03/17","APAM0731"
"transact.yr='18' and transact.period='2'","185     ","ABS COMPLETE PRINTING ","180188      ","N"," 77016   ","1121720215012550-329-1100","HHS DISCIPLINE REFERRA","       0.00","       319.00","123927  ","F","08/03/17","APAM0731"
"transact.yr='18' and transact.period='2'","222     ","ACADEMIC INDUSTRIES IN","180964      ","N"," 77018   ","1131420401009999-329-2200","PRESS ON GRAPH LABELS ","       0.00","       330.00","50702   ","F","08/03/17","APAM0801"
"transact.yr='18' and transact.period='2'","330     ","ACORN NATURALISTS     ","180030      ","N","         ","1106520401009999-329-2200","ITEM # T-6416 FIELD INS","","","        ","F","        ","MT080217"
"transact.yr='18' and transact.period='2'","330     ","ACORN NATURALISTS     ","180273      ","N"," 77019   ","1106520401009999-329-2200","ITEM # R-8146 GREAT WH","       0.00","        38.12","372974A ","P","08/03/17","APAM0725"
"transact.yr='18' and transact.period='2'","330     ","ACORN NATURALISTS     ","180273      ","N"," 77019   ","1106520401009999-329-2200","ITEM # R-8145 MEGALODO","       0.00","        67.26","372974A ","P","08/03/17","APAM0725"
"transact.yr='18' and transact.period='2'","91804   ","ACTE                  ","0           ","N"," 77302   ","1108020215012550-499-2100","MEMBER 464515         ","       0.00","        80.00","080817  "," ","08/17/17","APAM0814"
"transact.yr='18' and transact.period='2'","514     ","DIANA C ADAMS         ","0           ","N"," 77174   ","1208021499994010-408-0100","                      ","       0.00","        48.90","0705-072"," ","08/09/17","APPG0802"
"transact.yr='18' and transact.period='2'","514     ","DIANA C ADAMS         ","0           ","N"," 77174   ","1208021499994010-499-2300","                      ","       0.00","       183.95","0717-071"," ","08/09/17","APPG0802"
"transact.yr='18' and transact.period='2'","514     ","DIANA C ADAMS         ","0           ","N"," 77174   ","1208021499994010-499-2300","                      ","       0.00","       106.27","0718-072"," ","08/09/17","APPG0802"
"transact.yr='18' and transact.period='2'","514     ","DIANA C ADAMS         ","0           ","N"," 77671   ","1208021499994010-499-2300","                      ","       0.00","       174.62","0806-081"," ","08/31/17","APPG0825"
"transact.yr='18' and transact.period='2'","516     ","KELLEY L ADAMS        ","0           ","N"," V506708 ","1131720215012550-408-0100","                      ","       0.00","       123.05","0718-072"," ","08/17/17","APPG0810"
