"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='18' and transact.period='3'","6       ","95 PERCENT GROUP INC. ","182291      ","N"," 78304   ","1108020401009999-329-2208","ITEM NUMBER: PA1504  P","       0.00","       780.00","23478   ","F","09/28/17","APAM0925"
"transact.yr='18' and transact.period='3'","6       ","95 PERCENT GROUP INC. ","182291      ","N"," 78304   ","1108020401009999-329-2208","ESTIMATED SHIPPING/HAN","       0.00","        78.00","23478   ","F","09/28/17","APAM0925"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 77876   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","50650   ","P","09/07/17","APAM0829"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180264      ","N"," 77876   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","50651   ","P","09/07/17","APAM0829"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 77876   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       555.00","50683   ","P","09/07/17","APAM901"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 77876   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       740.00","50684   ","P","09/07/17","APAM901"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 77876   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       740.00","50685   ","P","09/07/17","APAM901"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 77876   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       111.00","50686   ","P","09/07/17","APAM901"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 77876   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","      1295.00","50687   ","P","09/07/17","APAM901"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 77876   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       370.00","50688   ","P","09/07/17","APAM901"
"transact.yr='18' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 77876   ","1108021031006000-408-3700","TRAILER RENTAL #4 FOR ","       0.00","       125.00","50704   ","P","09/07/17","APAM0829"
