"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='18' and transact.period='4'","100303  ","1ST IN-PADLOCKS       ","181821      ","N"," 78751   ","1121420403009999-329-2200","#1525 COMBINATION PADL","       0.00","       337.50","223926  ","F","10/12/17","APAM1005"
"transact.yr='18' and transact.period='4'","100303  ","1ST IN-PADLOCKS       ","181821      ","N"," 78751   ","1121420403009999-329-2200","ESTIMATED SHIPPING/HAN","       0.00","        32.38","223926  ","F","10/12/17","APAM1005"
"transact.yr='18' and transact.period='4'","90842   ","231 FARM CENTER       ","180480      ","N"," 79184   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","      3840.00","953037  ","P","10/26/17","APAM1018"
"transact.yr='18' and transact.period='4'","33556   ","4IMPRINT              ","181978      ","N"," 78999   ","1210121499993370-329-4100","ITEM NO. 138564 - SILV","       0.00","       264.50","14592307","F","10/19/17","APAM1011"
"transact.yr='18' and transact.period='4'","33556   ","4IMPRINT              ","181978      ","N"," 78999   ","1210121499993370-329-4100","SET UP CHARGE         ","       0.00","        10.00","14592307","F","10/19/17","APAM1011"
"transact.yr='18' and transact.period='4'","33556   ","4IMPRINT              ","181978      ","N"," 78999   ","1210121499993370-329-4100","ITEM NO. 113023-S     ","       0.00","       242.00","14592307","F","10/19/17","APAM1011"
"transact.yr='18' and transact.period='4'","33556   ","4IMPRINT              ","181978      ","N"," 78999   ","1210121499993370-329-4100","SET-UP CHARGE         ","       0.00","        10.00","14592307","F","10/19/17","APAM1011"
"transact.yr='18' and transact.period='4'","33556   ","4IMPRINT              ","181978      ","N"," 78999   ","1210121499993370-329-4100","ESTIMATED SHIPPING/HAN","       0.00","        22.59","14592307","F","10/19/17","APAM1011"
"transact.yr='18' and transact.period='4'","33556   ","4IMPRINT              ","0           ","N"," 79185   ","1210121499993370-329-4100","BALANCE DUE           ","       0.00","         6.76","5794543 "," ","10/26/17","APAM1023"
"transact.yr='18' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 78649   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","        33.25","50836   ","P","10/05/17","APAM0927"
"transact.yr='18' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 78649   ","1108021031006000-408-3700","TRAILER RENTAL #1 FOR ","       0.00","       125.00","50865   ","P","10/05/17","APAM0927"
"transact.yr='18' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 78649   ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","       125.00","50866   ","P","10/05/17","APAM0927"
"transact.yr='18' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","181181      ","N"," 78819   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","50867   ","P","10/12/17","APAM1004"
"transact.yr='18' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","181181      ","N"," 78819   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","50868   ","P","10/12/17","APAM1004"
"transact.yr='18' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 78819   ","1108021031006000-408-3700","TRAILER RENTAL #4 FOR ","       0.00","       125.00","50912   ","P","10/12/17","APAM1004"
"transact.yr='18' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 79066   ","1108021031006000-408-3700","TRAILER RENTAL #2 FOR ","       0.00","       125.00","51007   ","P","10/19/17","APAM1016"
"transact.yr='18' and transact.period='4'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 79249   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","        33.25","51046   ","P","10/26/17","APAM1020"
"transact.yr='18' and transact.period='4'","185     ","ABS COMPLETE PRINTING ","181549      ","N"," 78593   ","5521321399991045-329-0100","2,000 TRANSFER FORMS -","       0.00","       121.40","123979  ","F","10/05/17","APBL0928"
"transact.yr='18' and transact.period='4'","185     ","ABS COMPLETE PRINTING ","181549      ","N"," 78593   ","5511621399991045-329-0100","2,000 TRANSFER FORMS -","       0.00","        42.49","123979  ","F","10/05/17","APBL0928"
"transact.yr='18' and transact.period='4'","185     ","ABS COMPLETE PRINTING ","181549      ","N"," 78593   ","5511321399991045-329-0100","2,000 TRANSFER FORMS -","       0.00","        84.98","123979  ","F","10/05/17","APBL0928"
