"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='18' and transact.period='5'","91554   ","3 BROTHERS ITALIAN RES","183177      ","N"," 79435   ","1208020400807005-329-4100","#9194 TITLE I FAMILY E","       0.00","       765.00","9194    ","F","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","33556   ","4IMPRINT              ","182702      ","N"," 79436   ","1210121499993370-329-9900","ITEM NO. 7222         ","       0.00","       261.00","5816196 ","F","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","33556   ","4IMPRINT              ","182702      ","N"," 79436   ","1210121499993370-329-9900","SET-UP CHARGE         ","       0.00","        55.00","5816196 ","F","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","33556   ","4IMPRINT              ","182702      ","N"," 79436   ","1210121499993370-329-9900","ESTIMATED SHIPPING/HAN","       0.00","         8.15","5816196 ","F","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","33556   ","4IMPRINT              ","181750      ","N"," 79987   ","1111420401009999-329-2200","ITEM #107814          ","       0.00","       912.66","5874114 ","F","11/22/17","APA1120"
"transact.yr='18' and transact.period='5'","33556   ","4IMPRINT              ","181750      ","N"," 79987   ","1111420401009999-329-2200","ESTIMATED SHIPPING/HAN","       0.00","        45.18","5874114 ","F","11/22/17","APA1120"
"transact.yr='18' and transact.period='5'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 79486   ","1108021031006000-408-3700","TRAILER RENTAL #1 FOR ","       0.00","       125.00","51057   ","P","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 79486   ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","       125.00","51058   ","P","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","30724   ","A.H. HATCHER INC.     ","181181      ","N"," 79486   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","51059   ","P","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","30724   ","A.H. HATCHER INC.     ","181181      ","N"," 79486   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","51060   ","P","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 79638   ","1108021031006000-408-3700","TRAILER RENTAL #4 FOR ","       0.00","       125.00","51120   ","P","11/09/17","APAM1031"
"transact.yr='18' and transact.period='5'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 79848   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       133.00","51166   ","P","11/16/17","APA11082"
"transact.yr='18' and transact.period='5'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 80054   ","1108021031006000-408-3700","TRAILER RENTAL #2 FOR ","       0.00","       125.00","51233   ","P","11/22/17","APAM1114"
"transact.yr='18' and transact.period='5'","357     ","ACCU-CUT              ","182335      ","N","         ","1210121499993370-329-9900","ITEM NO. SS4176J","","","        ","F","        ","MT111417"
"transact.yr='18' and transact.period='5'","330     ","ACORN NATURALISTS     ","183142      ","N"," 79988   ","1106520401009999-329-2200","ITEM #T-14366 HOW INSE","       0.00","       579.15","375277A ","F","11/22/17","APAM1114"
"transact.yr='18' and transact.period='5'","330     ","ACORN NATURALISTS     ","183142      ","N"," 79988   ","1106520401009999-329-2200","ESTIMATED SHIPPING/HAN","       0.00","        57.92","375277A ","F","11/22/17","APAM1114"
"transact.yr='18' and transact.period='5'","398     ","ACT                   ","181434      ","N"," 80169   ","1108020401009999-329-3310","ACT HIGH SCHOOL MONTHL","       0.00","       250.00","31990361","F","11/30/17","APAM1127"
"transact.yr='18' and transact.period='5'","514     ","DIANA C ADAMS         ","0           ","N"," 79768   ","1208021499994010-408-0100","                      ","       0.00","       157.40","1002-102"," ","11/16/17","APPG1109"
"transact.yr='18' and transact.period='5'","514     ","DIANA C ADAMS         ","0           ","N"," 79768   ","1208021499994010-408-0100","                      ","       0.00","         9.74","1030-103"," ","11/16/17","APPG1109"
"transact.yr='18' and transact.period='5'","101258  ","ADVANCED MEDICAL PERSO","182125      ","N"," 79437   ","1208020604007527-209-9900","ENCUMBRANCE FOR SLP SE","       0.00","       894.12","201530  ","P","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","101258  ","ADVANCED MEDICAL PERSO","182125      ","N"," 79437   ","1208020604007527-209-9900","ENCUMBRANCE FOR SLP SE","       0.00","      1047.79","201530  ","P","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","101258  ","ADVANCED MEDICAL PERSO","182125      ","N"," 79437   ","1208020604007527-209-9900","ENCUMBRANCE FOR SLP SE","       0.00","       908.09","201530  ","P","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","101258  ","ADVANCED MEDICAL PERSO","182125      ","N"," 79437   ","1208020604007527-209-9900","ENCUMBRANCE FOR SLP SE","       0.00","       836.39","201559  ","P","11/02/17","APAM1025"
"transact.yr='18' and transact.period='5'","101258  ","ADVANCED MEDICAL PERSO","182125      ","N"," 79437   ","1208020604007527-209-9900","ENCUMBRANCE FOR SLP SE","       0.00","       713.73","201559  ","P","11/02/17","APAM1025"
